Component 1,Component 2,labels
-33.86056,3.0615091,Fair
-33.4557,3.5953174,Fair
-23.519552,8.792005,Fair
-27.452171,-3.2936127,Fair
-25.677925,-4.3031926,Fair
-40.34925,9.780565,Fair
-40.680195,10.054487,Fair
-42.645714,18.32563,Fair
-43.20174,18.256237,Fair
-60.647133,6.893417,Fair
-53.592773,1.3535237,Fair
-52.847134,-5.045815,Fair
-52.3929,6.298137,Fair
-26.368044,-5.6896715,Fair
-26.914259,-5.6864557,Fair
-54.464733,-8.248157,Fair
-28.4465,-3.7831647,Fair
-60.628338,5.5480185,Fair
-27.899445,-4.930137,Fair
-24.833702,-22.176607,Fair
-55.72058,-7.259973,Fair
-53.401814,-8.601611,Fair
-52.201866,-3.1191032,Fair
-41.680687,2.2546005,Fair
27.529589,-18.89952,Fair
8.70288,-14.797083,Fair
22.547766,-18.59387,Fair
23.36344,-20.973793,Fair
23.17739,-23.951246,Fair
1.3781862,-27.053057,Fair
20.361994,-22.25325,Good
9.182239,-24.73546,Fair
1.9196663,-27.618586,Fair
-2.140889,-26.332,Fair
-11.908085,-19.548887,Good
-17.31239,-19.097763,Fair
2.0843694,-26.450066,Fair
3.1337576,-26.075945,Good
63.791615,3.7952647,Fair
40.791332,8.0508375,Poor
53.5925,5.1007557,Moderate
53.172924,5.5940013,Poor
37.76067,6.465016,Poor
22.411655,-6.2790337,Moderate
40.682926,11.095938,Fair
22.78551,-3.8956642,Moderate
41.195026,11.970674,Fair
25.4583,10.956193,Moderate
24.159689,11.749296,Moderate
20.931337,13.588138,Moderate
22.129745,13.828147,Moderate
20.948399,17.201569,Moderate
-27.616293,7.952165,Moderate
-26.684278,8.29024,Fair
-27.027208,10.488099,Fair
-27.543869,9.4095745,Fair
-26.682611,-14.132992,Fair
-33.627308,-17.991314,Fair
-18.90213,0.63267946,Fair
-10.207373,-9.165627,Fair
-11.703997,20.800898,Fair
-30.418112,3.1055734,Fair
-33.754158,0.9134042,Fair
-18.074581,-0.6159391,Fair
-33.74382,3.3149898,Fair
-34.638092,3.35,Fair
40.69,7.050674,Fair
41.972626,-8.188852,Moderate
42.12264,-8.312964,Fair
43.83877,2.8834324,Fair
42.09972,1.9752617,Moderate
26.230515,3.4467494,Moderate
26.368359,1.1404186,Fair
34.328503,15.477104,Fair
25.934896,8.561596,Moderate
45.113483,3.68968,Fair
24.846582,6.221878,Moderate
